plate,state,license_type,summons_number,issue_date,violation_time,violation,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,summons_image,violation_status
F75NYF,NJ,PAS,9116797413,3/27/2024,09:20A,NO PARKING-STREET CLEANING,65,0,0,0,0.0,65.0,66,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZWxGNFRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
80335MB,NY,SRF,9116797425,3/27/2024,09:22A,REG. STICKER-EXPIRED/MISSING,65,0,0,0,0.0,65.0,66,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZWxGNVRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
80335MB,NY,SRF,9116797437,3/27/2024,09:23A,NO PARKING-STREET CLEANING,65,0,0,0,0.0,65.0,66,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZWxGNlRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KTC1076,NY,PAS,9116797449,3/27/2024,09:24A,NO PARKING-STREET CLEANING,65,0,0,0,0.0,65.0,66,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZWxFd1QxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LDM9781,NY,PAS,9116797450,3/27/2024,09:25A,NO PARKING-STREET CLEANING,65,0,0,0,0.0,65.0,66,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZWxFeFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KDB3492,NY,PAS,9116797462,3/27/2024,09:26A,REG. STICKER-EXPIRED/MISSING,65,0,0,0,0.0,65.0,66,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZWxFeVRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
D71UDF,NJ,PAS,9116797486,3/27/2024,10:40A,NO STANDING-EXC. AUTH. VEHICLE,95,0,0,0,0.0,95.0,66,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZWxFMFRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LMK1097,PA,PAS,9116797498,3/27/2024,12:26P,FAIL TO DSPLY MUNI METER RECPT,35,0,0,0,0.0,35.0,66,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZWxFMVQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
JPU1225,NY,PAS,9116797504,3/27/2024,12:42P,REG. STICKER-EXPIRED/MISSING,65,0,0,0,0.0,65.0,66,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZWxWM1RrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
GDM4179,NY,PAS,9116797516,3/27/2024,01:44P,EXPIRED MUNI METER,35,0,0,0,0.0,35.0,66,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZWxWNFRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
N538092,IL,PAS,9116797528,3/27/2024,03:01P,NO STANDING-DAY/TIME LIMITS,115,0,0,0,0.0,115.0,66,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZWxWNVQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
FCV8273,NY,PAS,9116797530,3/27/2024,03:11P,FAIL TO DSPLY MUNI METER RECPT,35,0,0,0,0.0,35.0,66,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZWxWNlRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KJA3395,NY,PAS,9116797541,3/27/2024,03:15P,FAIL TO DSPLY MUNI METER RECPT,35,0,0,0,0.0,35.0,66,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZWxVd1RWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LAN3496,NY,PAS,9116797553,3/27/2024,03:20P,REG STICKER-MUTILATED/C'FEIT,65,0,0,0,0.0,65.0,66,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZWxVeFRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
E834LT,UT,PAS,9116797565,3/27/2024,03:23P,FAIL TO DSPLY MUNI METER RECPT,35,0,0,0,0.0,35.0,66,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZWxVeVRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
FWT2685,NY,PAS,9116797589,3/27/2024,03:31P,EXPIRED MUNI METER,35,0,0,0,0.0,35.0,66,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZWxVMFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KZZ9580,NY,PAS,9116797590,3/27/2024,03:33P,FAIL TO DSPLY MUNI METER RECPT,35,0,0,0,0.0,35.0,66,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZWxVMVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KEK5226,NY,PAS,9116797607,3/27/2024,03:36P,FAIL TO DSPLY MUNI METER RECPT,35,0,0,0,0.0,35.0,66,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZWxsM1RuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KBR1305,NY,PAS,9116797619,3/27/2024,03:37P,FAIL TO DSPLY MUNI METER RECPT,35,0,0,0,0.0,35.0,66,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZWxsNFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
ASE6941,NY,PAS,9116797620,3/27/2024,03:41P,FAIL TO DSPLY MUNI METER RECPT,35,0,0,0,0.0,35.0,66,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZWxsNVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
FRW5010,QB,PAS,9116797632,3/27/2024,03:44P,FAIL TO DSPLY MUNI METER RECPT,35,0,0,0,0.0,35.0,66,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZWxsNlRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LHY2853,NY,999,9116797644,3/27/2024,03:48P,FAIL TO DSPLY MUNI METER RECPT,35,0,0,0,0.0,35.0,66,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZWxrd1RrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LHY2853,NY,999,9116797656,3/27/2024,03:50P,REG. STICKER-EXPIRED/MISSING,65,0,0,0,0.0,65.0,66,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZWxreFRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LHR3202,NY,PAS,9116797668,3/27/2024,03:52P,EXPIRED MUNI METER,35,0,0,0,0.0,35.0,66,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZWxreVQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
T99RUP,NJ,PAS,9116797670,3/29/2024,08:53A,FAIL TO DSPLY MUNI METER RECPT,35,0,0,0,0.0,35.0,60,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZWxrelRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
AL63PS,FL,PAS,9116797681,3/29/2024,08:56A,FAIL TO DSPLY MUNI METER RECPT,35,0,0,0,0.0,35.0,60,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZWxrMFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LBJ1769,NY,PAS,9116797693,3/29/2024,09:00A,FAIL TO DSPLY MUNI METER RECPT,35,0,0,0,0.0,35.0,60,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZWxrMVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KHT8398,NY,PAS,9116797700,3/29/2024,09:00A,FAIL TO DSPLY MUNI METER RECPT,35,0,0,0,0.0,35.0,60,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZW1OM1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KJL8093,NY,PAS,9116797711,3/29/2024,09:03A,INSP. STICKER-EXPIRED/MISSING,65,0,0,0,0.0,65.0,60,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZW1ONFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
J20PCS,NJ,PAS,9116797747,3/29/2024,09:12A,FAIL TO DSPLY MUNI METER RECPT,35,0,0,0,0.0,35.0,60,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZW1Nd1RuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KDT9657,NY,PAS,9116797759,3/29/2024,09:13A,FAIL TO DSPLY MUNI METER RECPT,35,0,0,0,0.0,35.0,60,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZW1NeFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
1G7163,WV,PAS,9116797760,3/29/2024,09:15A,FAIL TO DSPLY MUNI METER RECPT,35,0,0,0,0.0,35.0,60,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZW1NeVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
T114855C,NY,OMT,9116797772,3/29/2024,09:16A,FAIL TO DSPLY MUNI METER RECPT,35,0,0,0,0.0,35.0,60,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZW1NelRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LGM2238,NY,PAS,9116797784,3/29/2024,09:18A,FAIL TO DSPLY MUNI METER RECPT,35,0,0,0,0.0,35.0,60,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZW1NMFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
G34UBX,NJ,PAS,9116797796,3/29/2024,09:20A,FAIL TO DSPLY MUNI METER RECPT,35,0,0,0,0.0,35.0,60,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZW1NMVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
N300924C,NY,OMT,9116797802,3/29/2024,09:22A,FAIL TO DSPLY MUNI METER RECPT,35,0,0,0,0.0,35.0,60,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZW1kM1RXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KZH5558,NY,PAS,9116797814,3/29/2024,09:23A,FAIL TO DSPLY MUNI METER RECPT,35,0,0,0,0.0,35.0,60,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZW1kNFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
QFITTY,NY,SRF,9116797826,3/29/2024,09:27A,FAIL TO DSPLY MUNI METER RECPT,35,0,0,0,0.0,35.0,60,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZW1kNVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
T103053C,NY,OMT,9116797840,3/29/2024,09:29A,FAIL TO DSPLY MUNI METER RECPT,35,0,0,0,0.0,35.0,60,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZW1jd1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
T778757C,NY,OMT,9116797863,3/29/2024,09:32A,FAIL TO DSPLY MUNI METER RECPT,35,0,0,0,0.0,35.0,60,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZW1jeVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LGH1082,NY,PAS,9116797875,3/29/2024,09:33A,FAIL TO DSPLY MUNI METER RECPT,35,0,0,0,0.0,35.0,60,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZW1jelRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
B85PCK,NJ,PAS,9116797887,3/29/2024,10:04A,FAIL TO DSPLY MUNI METER RECPT,35,0,0,0,0.0,35.0,61,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZW1jMFRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LAZ6938,NY,PAS,9116797899,3/29/2024,11:04A,FAIL TO DSPLY MUNI METER RECPT,35,0,0,0,0.0,35.0,61,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZW1jMVQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KHU4992,NY,PAS,9116797838,3/29/2024,09:28A,FAIL TO DSPLY MUNI METER RECPT,35,0,0,0,35.0,0.0,60,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZW1kNlQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LCB5850,NY,PAS,9116797905,3/30/2024,08:28A,FAIL TO DSPLY MUNI METER RECPT,35,0,0,0,0.0,35.0,62,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZW10M1RsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KGG6331,NY,PAS,9116797917,3/30/2024,08:29A,FAIL TO DSPLY MUNI METER RECPT,35,0,0,0,0.0,35.0,62,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZW10NFRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
1DP2529,MD,PAS,9116797929,3/30/2024,08:32A,FIRE HYDRANT,115,0,0,0,0.0,115.0,62,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZW10NVQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LEJ3199,NY,PAS,9116797930,3/30/2024,08:36A,FAIL TO DSPLY MUNI METER RECPT,35,0,0,0,0.0,35.0,62,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZW10NlRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KLM1260,NY,PAS,9116797942,3/30/2024,08:38A,FAIL TO DSPLY MUNI METER RECPT,35,0,0,0,0.0,35.0,62,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZW1zd1RXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
85859ML,NY,COM,9116797954,3/30/2024,08:46A,FAIL TO DSPLY MUNI METER RECPT,35,0,0,0,0.0,35.0,62,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZW1zeFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KMT4223,NY,PAS,9116797966,3/30/2024,08:48A,FAIL TO DSPLY MUNI METER RECPT,35,0,0,0,0.0,35.0,62,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZW1zeVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LBB7045,NY,PAS,9116797980,3/30/2024,08:53A,FAIL TO DSPLY MUNI METER RECPT,35,0,0,0,0.0,35.0,62,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZW1zMFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
